topic_id,entity_type,method,rank,entity_pid,method_score
T001,paper,Rel-only,1,P-7C5CD812D86A5B00,0.000000
T001,paper,Rel-only,2,P-E69F9C486704FA1F,0.000000
T001,paper,Rel-only,3,P-73F3A73A2E20EBAB,0.000000
T001,paper,Rel-only,4,P-7F147EB8BB45B256,0.000000
T001,paper,Rel-only,5,P-7E873D04FD5ADF03,0.000000
T001,paper,Rel-only,6,P-EEFF43B0FA95A324,0.000000
T001,paper,Rel-only,7,P-5AD20F8B65ABB111,0.000000
T001,paper,Rel-only,8,P-E259256953EED3A6,0.000000
T001,paper,Rel-only,9,P-B5CAEE6400746A95,0.000000
T001,paper,Rel-only,10,P-890B56245057AB7A,0.000000
T001,paper,Rel-only,11,P-F31E337625A677E0,0.000000
T001,paper,Rel-only,12,P-297B2071BBECAC79,0.000000
T001,paper,Rel-only,13,P-2CA6533BEE5441EA,0.000000
T001,paper,Rel-only,14,P-F68D3FF2F410DB57,0.000000
T001,paper,Rel-only,15,P-A81A2AD58859A63C,0.000000
T001,paper,Rel-only,16,P-D69EBB833AA52979,0.000000
T001,paper,Rel-only,17,P-7C104F7CB52625F1,0.000000
T001,paper,Rel-only,18,P-D2F18F92C0829EF2,0.000000
T001,paper,Rel-only,19,P-3898BF3C3E29EFC8,0.000000
T001,paper,Rel-only,20,P-3A7B0BF211EED516,0.000000
T001,paper,Rel-only,21,P-3A609BA419568620,0.000000
T001,paper,Rel-only,22,P-0302D1259926E880,0.000000
T001,paper,Rel-only,23,P-515842D6CA67E506,0.000000
T001,paper,Rel-only,24,P-96FD294E5310E5A0,0.000000
T001,paper,Rel-only,25,P-D879A8CB1E057738,0.000000
T001,paper,Rel-only,26,P-6E684CC0E83E16DF,0.000000
T001,paper,Rel-only,27,P-D5612C09791A8BBC,0.000000
T001,paper,Rel-only,28,P-3D5982B3BE77070C,0.000000
T001,paper,Rel-only,29,P-FE2424468435849D,0.000000
T001,paper,Rel-only,30,P-9ABD308430CE2894,0.000000
T001,paper,Rel-only,31,P-0186061E0BFAF131,0.000000
T001,paper,Rel-only,32,P-51231F1D182EE1C2,0.000000
T001,paper,Rel-only,33,P-65602B8229112346,0.000000
T001,paper,Rel-only,34,P-726AD54C6AD1DEE2,0.000000
T001,paper,Rel-only,35,P-A84F1B39883B7799,0.000000
T001,paper,Rel-only,36,P-8760D776005D4040,0.000000
T001,paper,Rel-only,37,P-83B812875793B5A5,0.000000
T001,paper,Rel-only,38,P-371354E1D5F3631D,0.000000
T001,paper,Rel-only,39,P-F2E9393C2D10085D,0.000000
T001,paper,Rel-only,40,P-D6038710FC9882DD,0.000000
T001,paper,Rel-only,41,P-C3AADC632F43FF38,0.000000
T001,paper,Rel-only,42,P-E64FE4766021E6B0,0.000000
T001,paper,Rel-only,43,P-E08A0F7CA0D843C8,0.000000
T001,paper,Rel-only,44,P-6B529B501323D5FF,0.000000
T001,paper,Rel-only,45,P-913EF197CAB2A697,0.000000
T001,paper,Rel-only,46,P-3ECD3BB076DEE8DA,0.000000
T001,paper,Rel-only,47,P-7DDA31FA3DB63453,0.000000
T001,paper,Rel-only,48,P-3308E058DE6CE268,0.000000
T001,paper,Rel-only,49,P-0664178AAB577CD3,0.000000
T001,paper,Rel-only,50,P-B245FB69B168E1C3,0.000000
T001,paper,Rel-only,51,P-713CEE9BBC2F465B,0.000000
T001,paper,Rel-only,52,P-794BE8F9D203F5E8,0.000000
T001,paper,Rel-only,53,P-01153B584E498824,0.000000
T001,paper,Rel-only,54,P-003593BF9E0B1725,0.000000
T001,paper,Rel-only,55,P-52F7CF645761CC38,0.000000
T001,paper,Rel-only,56,P-676057AA4C32F2B4,0.000000
T001,paper,Rel-only,57,P-0816BDD7647E401F,0.000000
T001,paper,Rel-only,58,P-7D6BBE6539523C88,0.000000
T001,paper,Rel-only,59,P-BEB736D37D1C1411,0.000000
T001,paper,Rel-only,60,P-C2D3DBF443A4F32B,0.000000
T001,paper,Rel-only,61,P-F797711D0B0DB1C9,0.000000
T001,paper,Rel-only,62,P-2477ED337050ACF9,0.000000
T001,paper,Rel-only,63,P-B59135774151554F,0.000000
T001,paper,Rel-only,64,P-AEA4F135829D9BB6,0.000000
T001,paper,Rel-only,65,P-5D71A47AC6E624C7,0.000000
T001,paper,Rel-only,66,P-B091ACE9656E115D,0.000000
T001,paper,Rel-only,67,P-D09F8B1F333A102C,0.000000
T001,paper,Rel-only,68,P-8379555F845B8948,0.000000
T001,paper,Rel-only,69,P-C10D31A18C487712,0.000000
T001,paper,Rel-only,70,P-761DC69A60291A8E,0.000000
T001,paper,Rel-only,71,P-96156E222DE26937,0.000000
T001,paper,Rel-only,72,P-C8DA48F1017E191A,0.000000
