citing_publication_id,cited_publication_id
SP001,SP024
SP003,SP007
SP004,SP016
SP004,SP039
SP004,SP042
SP006,SP010
SP006,SP031
SP007,SP024
SP008,SP020
SP010,SP005
SP010,SP023
SP011,SP010
SP013,SP032
SP014,SP015
SP015,SP012
SP015,SP022
SP017,SP009
SP017,SP029
SP018,SP012
SP018,SP025
SP020,SP023
SP021,SP025
SP022,SP019
SP022,SP040
SP023,SP002
SP023,SP005
SP023,SP020
SP024,SP016
SP024,SP018
SP025,SP022
SP025,SP026
SP025,SP045
SP026,SP020
SP027,SP002
SP027,SP028
SP028,SP032
SP029,SP037
SP030,SP035
SP031,SP020
SP034,SP008
SP034,SP013
SP034,SP024
SP035,SP025
SP036,SP015
SP037,SP031
SP038,SP005
SP038,SP021
SP039,SP004
SP039,SP015
SP040,SP039
SP041,SP031
SP041,SP032
SP042,SP026
SP043,SP036
SP044,SP027
SP044,SP038
SP044,SP042
SP045,SP008
SP046,SP020
SP046,SP031
SP046,SP039
SP047,SP026
SP047,SP042
SP048,SP009
SP048,SP030
SP048,SP043
SP049,SP002
SP049,SP019
SP051,SP044
SP052,SP014
SP053,SP005
SP054,SP011
SP056,SP040
SP058,SP007
SP058,SP036
SP059,SP002
SP059,SP009
SP059,SP011
SP059,SP043
SP060,SP025
