keyword_id,canonical_form,alias_form
SK001,Synthetic Keyword 01,Synthetic Term 01
SK002,Synthetic Keyword 02,Synthetic Term 02
SK003,Synthetic Keyword 03,Synthetic Term 03
SK004,Synthetic Keyword 04,Synthetic Term 04
SK005,Synthetic Keyword 05,Synthetic Term 05
SK006,Synthetic Keyword 06,Synthetic Term 06
SK007,Synthetic Keyword 07,
SK008,Synthetic Keyword 08,
SK009,Synthetic Keyword 09,
SK010,Synthetic Keyword 10,
SK011,Synthetic Keyword 11,
SK012,Synthetic Keyword 12,
SK013,Synthetic Keyword 13,
SK014,Synthetic Keyword 14,
SK015,Synthetic Keyword 15,
SK016,Synthetic Keyword 16,
SK017,Synthetic Keyword 17,
SK018,Synthetic Keyword 18,
SK019,Synthetic Keyword 19,
SK020,Synthetic Keyword 20,
SK021,Synthetic Keyword 21,
SK022,Synthetic Keyword 22,
SK023,Synthetic Keyword 23,
SK024,Synthetic Keyword 24,
SK025,Synthetic Keyword 25,
SK026,Synthetic Keyword 26,
SK027,Synthetic Keyword 27,
SK028,Synthetic Keyword 28,
SK029,Synthetic Keyword 29,
SK030,Synthetic Keyword 30,
