publication_id,keyword_id,raw_form,canonical_form
SP001,SK003,Synthetic Keyword 03,Synthetic Keyword 03
SP001,SK007,Synthetic Keyword 07,Synthetic Keyword 07
SP001,SK015,Synthetic Keyword 15,Synthetic Keyword 15
SP002,SK004,Synthetic Term 04,Synthetic Keyword 04
SP002,SK010,Synthetic Keyword 10,Synthetic Keyword 10
SP002,SK022,Synthetic Keyword 22,Synthetic Keyword 22
SP003,SK005,Synthetic Keyword 05,Synthetic Keyword 05
SP003,SK013,Synthetic Keyword 13,Synthetic Keyword 13
SP003,SK029,Synthetic Keyword 29,Synthetic Keyword 29
SP004,SK004,Synthetic Term 04,Synthetic Keyword 04
SP004,SK011,Synthetic Keyword 11,Synthetic Keyword 11
SP004,SK017,Synthetic Keyword 17,Synthetic Keyword 17
SP005,SK007,Synthetic Keyword 07,Synthetic Keyword 07
SP005,SK019,Synthetic Keyword 19,Synthetic Keyword 19
SP005,SK013,Synthetic Keyword 13,Synthetic Keyword 13
SP006,SK008,Synthetic Keyword 08,Synthetic Keyword 08
SP006,SK022,Synthetic Keyword 22,Synthetic Keyword 22
SP006,SK020,Synthetic Keyword 20,Synthetic Keyword 20
SP007,SK009,Synthetic Keyword 09,Synthetic Keyword 09
SP007,SK025,Synthetic Keyword 25,Synthetic Keyword 25
SP007,SK027,Synthetic Keyword 27,Synthetic Keyword 27
SP008,SK010,Synthetic Keyword 10,Synthetic Keyword 10
SP008,SK028,Synthetic Keyword 28,Synthetic Keyword 28
SP008,SK004,Synthetic Term 04,Synthetic Keyword 04
SP009,SK009,Synthetic Keyword 09,Synthetic Keyword 09
SP009,SK016,Synthetic Keyword 16,Synthetic Keyword 16
SP009,SK022,Synthetic Keyword 22,Synthetic Keyword 22
SP010,SK012,Synthetic Keyword 12,Synthetic Keyword 12
SP010,SK004,Synthetic Term 04,Synthetic Keyword 04
SP010,SK018,Synthetic Keyword 18,Synthetic Keyword 18
SP011,SK013,Synthetic Keyword 13,Synthetic Keyword 13
SP011,SK007,Synthetic Keyword 07,Synthetic Keyword 07
SP011,SK025,Synthetic Keyword 25,Synthetic Keyword 25
SP012,SK014,Synthetic Keyword 14,Synthetic Keyword 14
SP012,SK010,Synthetic Keyword 10,Synthetic Keyword 10
SP012,SK002,Synthetic Term 02,Synthetic Keyword 02
SP013,SK015,Synthetic Keyword 15,Synthetic Keyword 15
SP013,SK013,Synthetic Keyword 13,Synthetic Keyword 13
SP013,SK009,Synthetic Keyword 09,Synthetic Keyword 09
SP014,SK014,Synthetic Keyword 14,Synthetic Keyword 14
SP014,SK021,Synthetic Keyword 21,Synthetic Keyword 21
SP014,SK027,Synthetic Keyword 27,Synthetic Keyword 27
SP015,SK017,Synthetic Keyword 17,Synthetic Keyword 17
SP015,SK019,Synthetic Keyword 19,Synthetic Keyword 19
SP015,SK023,Synthetic Keyword 23,Synthetic Keyword 23
SP016,SK018,Synthetic Keyword 18,Synthetic Keyword 18
SP016,SK022,Synthetic Keyword 22,Synthetic Keyword 22
SP016,SK030,Synthetic Keyword 30,Synthetic Keyword 30
SP017,SK019,Synthetic Keyword 19,Synthetic Keyword 19
SP017,SK025,Synthetic Keyword 25,Synthetic Keyword 25
SP017,SK007,Synthetic Keyword 07,Synthetic Keyword 07
SP018,SK020,Synthetic Keyword 20,Synthetic Keyword 20
SP018,SK028,Synthetic Keyword 28,Synthetic Keyword 28
SP018,SK014,Synthetic Keyword 14,Synthetic Keyword 14
SP019,SK019,Synthetic Keyword 19,Synthetic Keyword 19
SP019,SK026,Synthetic Keyword 26,Synthetic Keyword 26
SP019,SK002,Synthetic Keyword 02,Synthetic Keyword 02
SP020,SK022,Synthetic Keyword 22,Synthetic Keyword 22
SP020,SK004,Synthetic Term 04,Synthetic Keyword 04
SP020,SK028,Synthetic Keyword 28,Synthetic Keyword 28
SP021,SK023,Synthetic Keyword 23,Synthetic Keyword 23
SP021,SK007,Synthetic Keyword 07,Synthetic Keyword 07
SP021,SK005,Synthetic Keyword 05,Synthetic Keyword 05
SP022,SK024,Synthetic Keyword 24,Synthetic Keyword 24
SP022,SK010,Synthetic Keyword 10,Synthetic Keyword 10
SP022,SK012,Synthetic Keyword 12,Synthetic Keyword 12
SP023,SK025,Synthetic Keyword 25,Synthetic Keyword 25
SP023,SK013,Synthetic Keyword 13,Synthetic Keyword 13
SP023,SK019,Synthetic Keyword 19,Synthetic Keyword 19
SP024,SK024,Synthetic Keyword 24,Synthetic Keyword 24
SP024,SK001,Synthetic Term 01,Synthetic Keyword 01
SP024,SK007,Synthetic Keyword 07,Synthetic Keyword 07
SP025,SK027,Synthetic Keyword 27,Synthetic Keyword 27
SP025,SK019,Synthetic Keyword 19,Synthetic Keyword 19
SP025,SK003,Synthetic Keyword 03,Synthetic Keyword 03
SP026,SK028,Synthetic Keyword 28,Synthetic Keyword 28
SP026,SK022,Synthetic Keyword 22,Synthetic Keyword 22
SP026,SK010,Synthetic Keyword 10,Synthetic Keyword 10
SP027,SK029,Synthetic Keyword 29,Synthetic Keyword 29
SP027,SK025,Synthetic Keyword 25,Synthetic Keyword 25
SP027,SK017,Synthetic Keyword 17,Synthetic Keyword 17
SP028,SK030,Synthetic Keyword 30,Synthetic Keyword 30
SP028,SK028,Synthetic Keyword 28,Synthetic Keyword 28
SP028,SK024,Synthetic Keyword 24,Synthetic Keyword 24
SP029,SK029,Synthetic Keyword 29,Synthetic Keyword 29
