publication_id,scholar_id,author_order
SP001,SA001,1
SP001,SA008,2
SP002,SA002,1
SP002,SA015,2
SP003,SA003,1
SP003,SA022,2
SP004,SA004,1
SP004,SA029,2
SP005,SA005,1
SP005,SA036,2
SP006,SA006,1
SP006,SA004,2
SP007,SA007,1
SP007,SA011,2
SP008,SA008,1
SP008,SA018,2
SP009,SA009,1
SP009,SA025,2
SP010,SA010,1
SP010,SA032,2
SP011,SA011,1
SP011,SA039,2
SP012,SA012,1
SP012,SA007,2
SP013,SA013,1
SP013,SA014,2
SP014,SA014,1
SP014,SA021,2
SP015,SA015,1
SP015,SA028,2
SP016,SA016,1
SP016,SA035,2
SP017,SA017,1
SP017,SA003,2
SP018,SA018,1
SP018,SA010,2
SP019,SA019,1
SP019,SA017,2
SP020,SA020,1
SP020,SA024,2
SP021,SA021,1
SP021,SA031,2
SP022,SA022,1
SP022,SA038,2
SP023,SA023,1
SP023,SA006,2
SP024,SA024,1
SP024,SA013,2
SP025,SA025,1
SP025,SA020,2
SP026,SA026,1
SP026,SA027,2
SP027,SA027,1
SP027,SA034,2
SP028,SA028,1
SP028,SA002,2
SP029,SA029,1
SP029,SA009,2
SP030,SA030,1
SP030,SA016,2
SP031,SA031,1
SP031,SA023,2
SP032,SA032,1
SP032,SA030,2
SP033,SA033,1
SP033,SA037,2
SP034,SA034,1
SP034,SA005,2
SP035,SA035,1
SP035,SA012,2
SP036,SA036,1
SP036,SA019,2
SP037,SA037,1
SP037,SA026,2
SP038,SA038,1
SP038,SA033,2
SP039,SA039,1
SP039,SA001,2
SP040,SA001,1
SP040,SA008,2
SP041,SA002,1
SP041,SA015,2
SP042,SA003,1
SP042,SA022,2
SP043,SA004,1
SP043,SA029,2
SP044,SA005,1
SP044,SA036,2
SP045,SA006,1
SP045,SA004,2
SP046,SA007,1
SP046,SA011,2
SP047,SA008,1
SP047,SA018,2
SP048,SA009,1
SP048,SA025,2
SP049,SA010,1
SP049,SA032,2
SP050,SA011,1
SP050,SA039,2
SP051,SA012,1
SP051,SA007,2
SP052,SA013,1
SP052,SA014,2
SP053,SA014,1
SP053,SA021,2
SP054,SA015,1
SP054,SA028,2
SP055,SA016,1
SP055,SA035,2
SP056,SA017,1
SP056,SA003,2
SP057,SA018,1
SP057,SA010,2
SP058,SA019,1
SP058,SA017,2
SP059,SA020,1
SP059,SA024,2
SP060,SA021,1
SP060,SA031,2
