publication_id,title,year,journal_id,discipline_id,topic_codes,citation_count
SP001,Synthetic Publication 001,2014,SJ01,SC01,T001,0
SP002,Synthetic Publication 002,2015,SJ02,SC02,T002,4
SP003,Synthetic Publication 003,2016,SJ03,SC03,T001,0
SP004,Synthetic Publication 004,2017,SJ04,SC04,T002,1
SP005,Synthetic Publication 005,2018,SJ01,SC01,T001,4
SP006,Synthetic Publication 006,2019,SJ02,SC02,T002,0
SP007,Synthetic Publication 007,2020,SJ03,SC03,T001,2
SP008,Synthetic Publication 008,2021,SJ04,SC04,T002,2
SP009,Synthetic Publication 009,2022,SJ01,SC01,T001,3
SP010,Synthetic Publication 010,2023,SJ02,SC02,T001|T002,2
SP011,Synthetic Publication 011,2024,SJ03,SC03,T001,2
SP012,Synthetic Publication 012,2025,SJ04,SC04,T002,2
SP013,Synthetic Publication 013,2014,SJ01,SC01,T001,1
SP014,Synthetic Publication 014,2015,SJ02,SC02,T002,1
SP015,Synthetic Publication 015,2016,SJ03,SC03,T001,3
SP016,Synthetic Publication 016,2017,SJ04,SC04,T002,2
SP017,Synthetic Publication 017,2018,SJ01,SC01,T001,0
SP018,Synthetic Publication 018,2019,SJ02,SC02,T002,1
SP019,Synthetic Publication 019,2020,SJ03,SC03,T001,2
SP020,Synthetic Publication 020,2021,SJ04,SC04,T001|T002,5
SP021,Synthetic Publication 021,2022,SJ01,SC01,T001,1
SP022,Synthetic Publication 022,2023,SJ02,SC02,T002,2
SP023,Synthetic Publication 023,2024,SJ03,SC03,T001,2
SP024,Synthetic Publication 024,2025,SJ04,SC04,T002,3
SP025,Synthetic Publication 025,2014,SJ01,SC01,T001,4
SP026,Synthetic Publication 026,2015,SJ02,SC02,T002,3
SP027,Synthetic Publication 027,2016,SJ03,SC03,T001,1
SP028,Synthetic Publication 028,2017,SJ04,SC04,T002,1
SP029,Synthetic Publication 029,2018,SJ01,SC01,T001,1
SP030,Synthetic Publication 030,2019,SJ02,SC02,T001|T002,1
SP031,Synthetic Publication 031,2020,SJ03,SC03,T001,4
SP032,Synthetic Publication 032,2021,SJ04,SC04,T002,3
SP033,Synthetic Publication 033,2022,SJ01,SC01,T001,0
SP034,Synthetic Publication 034,2023,SJ02,SC02,T002,0
SP035,Synthetic Publication 035,2024,SJ03,SC03,T001,1
SP036,Synthetic Publication 036,2025,SJ04,SC04,T002,2
SP037,Synthetic Publication 037,2014,SJ01,SC01,T001,1
SP038,Synthetic Publication 038,2015,SJ02,SC02,T002,1
SP039,Synthetic Publication 039,2016,SJ03,SC03,T001,3
SP040,Synthetic Publication 040,2017,SJ04,SC04,T001|T002,2
SP041,Synthetic Publication 041,2018,SJ01,SC01,T001,0
SP042,Synthetic Publication 042,2019,SJ02,SC02,T002,3
SP043,Synthetic Publication 043,2020,SJ03,SC03,T001,2
SP044,Synthetic Publication 044,2021,SJ04,SC04,T002,1
SP045,Synthetic Publication 045,2022,SJ01,SC01,T001,1
SP046,Synthetic Publication 046,2023,SJ02,SC02,T002,0
SP047,Synthetic Publication 047,2024,SJ03,SC03,T001,0
SP048,Synthetic Publication 048,2025,SJ04,SC04,T002,0
SP049,Synthetic Publication 049,2014,SJ01,SC01,T001,0
SP050,Synthetic Publication 050,2015,SJ02,SC02,T001|T002,0
SP051,Synthetic Publication 051,2016,SJ03,SC03,T001,0
SP052,Synthetic Publication 052,2017,SJ04,SC04,T002,0
SP053,Synthetic Publication 053,2018,SJ01,SC01,T001,0
SP054,Synthetic Publication 054,2019,SJ02,SC02,T002,0
SP055,Synthetic Publication 055,2020,SJ03,SC03,T001,0
SP056,Synthetic Publication 056,2021,SJ04,SC04,T002,0
SP057,Synthetic Publication 057,2022,SJ01,SC01,T001,0
SP058,Synthetic Publication 058,2023,SJ02,SC02,T002,0
SP059,Synthetic Publication 059,2024,SJ03,SC03,T001,0
SP060,Synthetic Publication 060,2025,SJ04,SC04,T001|T002,0
