scholar_id,display_name,institution_id,ambiguity_group
SA001,Synthetic Scholar 01,SD001,
SA002,Synthetic Scholar 02,SD002,
SA003,Synthetic Scholar 03,SD003,
SA004,Synthetic Scholar 04,,
SA005,Synthetic Scholar 05,SD005,
SA006,Synthetic Scholar 06,SD006,
SA007,Synthetic Same Name,SD007,AG001
SA008,Synthetic Scholar 08,SD008,
SA009,Synthetic Scholar 09,SD009,
SA010,Synthetic Scholar 10,SD010,
SA011,Synthetic Scholar 11,SD011,
SA012,Synthetic Scholar 12,SD012,
SA013,Synthetic Scholar 13,,
SA014,Synthetic Scholar 14,SD002,
SA015,Synthetic Scholar 15,SD003,
SA016,Synthetic Scholar 16,SD004,
SA017,Synthetic Scholar 17,SD005,
SA018,Synthetic Scholar 18,SD006,
SA019,Synthetic Scholar 19,SD007,
SA020,Synthetic Scholar 20,SD008,
SA021,Synthetic Scholar 21,SD009,
SA022,Synthetic Scholar 22,,
SA023,Synthetic Scholar 23,SD011,
SA024,Synthetic Scholar 24,SD012,
SA025,Synthetic Scholar 25,SD001,
SA026,Synthetic Scholar 26,SD002,
SA027,Synthetic Same Name,SD003,AG001
SA028,Synthetic Scholar 28,SD004,
SA029,Synthetic Scholar 29,SD005,
SA030,Synthetic Scholar 30,SD006,
SA031,Synthetic Scholar 31,,
SA032,Synthetic Scholar 32,SD008,
SA033,Synthetic Scholar 33,SD009,
SA034,Synthetic Scholar 34,SD010,
SA035,Synthetic Scholar 35,SD011,
SA036,Synthetic Scholar 36,SD012,
SA037,Synthetic Scholar 37,SD001,
SA038,Synthetic Scholar 38,SD002,
SA039,Synthetic Scholar 39,SD003,
SA040,Synthetic Scholar 40,SD004,
